office_id,service_name
35,Issuance/Releasing of Casual Appointment
35,Issuance and Releasing of Appointment (Contract of Service/JO)
35,Issuance and Releasing of Appointment (Permanent and Contractual)
35,Preparation/Issuance of Volunteer Contract
35,Issuance of Service Record and Certificate of Employment
35,"Issuance of Certified True Copy of 201 Files Documents (Appointment, PDS, SALN, NOSI/NOSA, IPCR, Plantilla, etc.)"
35,Issuance of Leave Credits Certification
35,Processing of Leave Application
35,"Request for Terminal Leave, Monetization and Forecasted Terminal Leave"
35,Request for employee indorsement
35,Correction of erroneous ATS logs and other concern/requests for attendance or working hours
35,Payroll Preparation of Permanent and Co-Terminous Employees
35,Financial Data Entry System (FINDES) Preparation for Permanent/Co-Terminous Employees
35,Payroll Preparation of Casual/Contractual and Job Order Employees
35,Financial Data Entry System (FINDES) Preparation for Casual/Contractual and Job Order Employees
35,Processing of GSIS Loan Application
35,Salary Adjustment and Change Form Status in the Payroll System
35,"Processing of Land Bank Loan, DBP Loan, Pag-ibig Loan and other different loan for salary net verification"
35,Submission of Individual Performance Commitment Review (IPCR) Target/Accomplishment
35,Issuance of Performance Final Ratings
35,Request for Conduct of Training
35,"Issuance/Preparation of Simple Memoranda, Office Orders, and Certificates"
35,Issuance of OJT Contract
35,Other
36,"1. Issue Equipment, Supplies and Materials for Donation"
36,1. Issue Certificate of Clearance as to Property Accountability
36,"2. Issue Office, Janitorial, Electrical and Computer Supplies to PGL Offices"
36,3. Provide Micro Services
36,4. Provide Minor Repair Services of Facilities
36,Other
37,Written / Online Request
37,Other
38,Issue Library Card
38,Lend Print and Non-Print material to library user
38,Provide Reference Services
38,Provide Free Use of Computer for Research and Printing Purposes Only
38,Donate Books to the Public Libraries and Public School Libraries
38,Acceptance of Book Donations
38,Other
39,Cervical Cancer Screening
39,Breast Cancer Screening
39,Family Planning
39,Physical/Medical Examination
39,Deworming for women of reproductive age
39,Other
40,Repair/Rehabilitation & Construction of Infrastructure Projects
40,Provision/Lending of Heavy Equipment
40,Issuance of Right of Way Clearance/ Excavation Permit
40,Other
41,Enrolment for New Students
41,Enrolment for Continuing Students
41,Request for Documents
41,Issuance of Documents
41,Issuance of Transfer Credentials
41,"Payment of Tuition, Miscellaneous and Other Fees"
41,Other
