office_id,service_name
9,Provide food commodities for nutrition rehabilitation and malnutrition prevention
9,Provide Nutrition - Related Data
9,Provide consultancy services to Barangay Nutrition Scholars (BNSs) and Nutrition Action Officers (NAOs)
9,"Provide resource person for nutrition-related seminars. symposia, training and other similar activities"
9,"Provide Information, Education and Communication (IEC) materials for proper nutrition"
9,Provide diet counselling and diet plan to walk-in clients
10,"Provision of developmental plans, maps, statistical / non-statistical data and other planning documents"
10,Provision of Technical Assistance in Geographic Information Systems (GIS)
10,Provision of technical assistance in the formulation of GAD Plan and Budget
11,Cervical Cancer Screening
11,Breast Cancer Screening
11,Family Planning
11,Medical Consultation
12,Provide Population Data - Population Information Dissemination
12,Conduct of Pre-Marriage Counseling Seminar
12,Conduct of Other Related Population Programs/Seminars
13,Use and rental of sports facilities at the Laguna Sports Complex (Walk-in)
13,Use and Rental of Sports Facilities at the Laguna Sports Complex (Sports and Non-Sports Events)
14,"Provide Financial Assistance to Individual in Crisis Situation (AICS) for Medical and Burial, Assistive Devices and"
14,Transportation Assistance
14,Provide Rehabilitation Services for Women and Children in Need of Special Protection
14, Provide Temporary Care and Residential Rehabilitation Facility to Drug Dependents
14, Provide Transition Home for Children-In-Conflict with the Law
14,Provide Skills Development Training for Livelihood
14,Serbisyong Tama Health Program
14,Provide Assistance to Children-In-Conflict with the Law
14,Provision of Assistance to Disaster Victims
14,Case Management
14,"Conduct of Assessment for Issuance of Registration Certificate of NGO’s, PO’s and Foundation as Social Welfare and"
14,Development Agency
15,Acceptance of Liquidation of Accounts of the Different Municipalities
15,Acceptance of Collections from Other Collecting Officers
15,Payment of Salaries and Wages and other benefits – for Non -ATM & Special Project of the Province
15,Releasing of Checks to Suppliers/Contractors and other Claimants
15,Payment of Real Property Tax
15,Compute and Accept Payment of Tax for Provincial Imposition
15,Compute and Accept Payment for Fees and Charge
16,Written / Online Request
17,Handling of Queries on Housing Concern
17,Provision of Seminars
17,Provision of Technical Assistance for Community Associations
17,Housing Projects (CMP/DPS)
17,Mediation and Arbitration of Complaints
18,Issuance of Certified True Copies of Sangguniang Panlalawigan Office
18,Issuance of Certification
18,Provide Technical Assistance Prior to the enactment of Resolution or Ordinance
18,Provide Technical Assistance upon approval of Resolution or Ordinance
19,Assists on the Sectors on their Requests/ Assistance
20,Processing of Ambulance Assistance/Dispatching
20,Processing of Medical Assistance
20,Processing of Billing Assistance
20,Processing of Financial/Burial Assistance
20,Processing of Transport Assistance
20,Processing of Request for Set Up of Tents and Parachutes
20,Processing of Receiving Complaints
21,Administration of Legislative Services
21,Review and Attestation of Ordinances
21,Social Services
22,Accreditation of Youth Organization
22,Sangguniang Kabataan and Local Youth Development Officer of Laguna
22,Webinar
23,"Curative treatment and disease preventive measures (eg. deworming) for companion animal, livestock and poultry (on-site)"
23,"Curative treatment and disease preventive measures (eg. deworming) for companion animal, livestock and poultry(walk-in)"
23,Rabies vaccination for companion animals(on-site)
23,Rabies vaccination for companion animals(walk-in)
23,Provision of veterinary drugs and biologics for the treatment and immunization of animals
23,"Provision of artificial insemination (AI) to swine, cattle and carabao"
23,Collection of blood sample from poultry and livestock for laboratory processing
23,"Disease surveillance to confirm the absence of a particular disease, such as FMD, ASF, or AI in the area (surveillance"
23,is done every six (6) months or 2x a year)
23,Issuance of veterinary health certificate (VHC) and local shipping permits (LSP)
23,Processing of request for training and seminar
23,Preparation of feasibility study (livestock & poultry)
23,Conduct of livelihood training and seminar
23,Processing of different requests
23,Processing of communications from the Office of the Provincial Veterinarian (OPV)
1,Others
2,Others
3,Others
4,Others
5,Others
6,Others
7,Others
8,Others
9,Others
10,Others
11,Others
12,Others
13,Others
14,Others
15,Others
16,Others
17,Others
18,Others
19,Others
20,Others
21,Others
22,Others
23,Others
